name,author,publication_date,isbn,state,active
Pather Panchali,Bibhutibhushan Bandyopadhyay,1929-08-15,978-9840800001,available,True
Lalsalu,Syed Waliullah,1948-01-01,978-9840800018,available,True
Chokher Bali,Rabindranath Tagore,1903-06-20,978-9840800025,available,True
Padma Nadir Majhi,Manik Bandopadhyay,1936-03-10,978-9840800032,available,True
Dui Banglar Chhera,Selina Hossain,1984-02-21,978-9840800049,available,True
Griha Probesh,Anisul Hoque,2011-06-01,978-9840800056,available,True
Ekattorer Dingulee,Jahanara Imam,1986-12-16,978-9840800063,available,True
Megher Opor Bari,Rabeya Khatun,1976-05-15,978-9840800070,available,True
Jochona O Jononir Golpo,Humayun Ahmed,1995-02-01,978-9840800087,available,True
Shunno,Humayun Ahmed,1991-11-15,978-9840800094,available,True
Debi,Humayun Ahmed,1992-02-01,978-9840800100,available,True
Nondito Noroke,Humayun Ahmed,1972-12-01,978-9840800117,available,True
Ami Birangona Bolchi,Nilima Ibrahim,1994-11-01,978-9840800124,available,True
Ami Topto,Anisul Hoque,2016-02-21,978-9840800131,available,True
Ma,Anisul Hoque,2003-02-21,978-9840800148,available,True
Nishiddho Loban,Syed Waliullah,1963-01-01,978-9840800155,available,True
Shesher Kobita,Rabindranath Tagore,1929-01-01,978-9840800162,available,True
Ghar Bhanga Ghor,Imdadul Haq Milan,1977-01-01,978-9840800179,available,True
Kothao Keu Nei,Humayun Ahmed,1990-01-01,978-9840800186,available,True
Bohubrihi,Humayun Ahmed,1988-01-01,978-9840800193,available,True
